,pref,lon_d_p,dep_d_p,well_d_p,RMme_d_p,RMch_d_p,lon_d_m_p,dep_d_m_p,well_d_m_p,RMme_d_m_p,RMch_d_m_p,lon_d_f_p,dep_d_f_p,well_d_f_p,RMme_d_f_p,RMch_d_f_p
0,1,0.43243243243243246,0.22072072072072071,0.42792792792792794,0.4369369369369369,0.42342342342342343,0.4636363636363636,0.24545454545454545,0.43636363636363634,0.38181818181818183,0.44545454545454544,0.40540540540540543,0.1981981981981982,0.42342342342342343,0.4954954954954955,0.3963963963963964
1,2,0.4891304347826087,0.20652173913043478,0.4673913043478261,0.358695652173913,0.43478260869565216,0.5581395348837209,0.2558139534883721,0.46511627906976744,0.3488372093023256,0.3953488372093023,0.42857142857142855,0.16326530612244897,0.46938775510204084,0.3673469387755102,0.46938775510204084
2,3,0.38095238095238093,0.2857142857142857,0.49206349206349204,0.4126984126984127,0.3968253968253968,0.4117647058823529,0.29411764705882354,0.5294117647058824,0.47058823529411764,0.3235294117647059,0.3448275862068966,0.27586206896551724,0.4482758620689655,0.3448275862068966,0.4827586206896552
3,4,0.467005076142132,0.2233502538071066,0.4467005076142132,0.41116751269035534,0.3604060913705584,0.46464646464646464,0.2727272727272727,0.47474747474747475,0.41414141414141414,0.32323232323232326,0.4639175257731959,0.17525773195876287,0.422680412371134,0.4020618556701031,0.4020618556701031
4,5,0.5254237288135594,0.2033898305084746,0.4745762711864407,0.3389830508474576,0.3898305084745763,0.5483870967741935,0.22580645161290322,0.4838709677419355,0.22580645161290322,0.3225806451612903,0.5,0.17857142857142858,0.4642857142857143,0.4642857142857143,0.4642857142857143
5,6,0.46774193548387094,0.3225806451612903,0.5483870967741935,0.22580645161290322,0.4032258064516129,0.4827586206896552,0.3103448275862069,0.41379310344827586,0.20689655172413793,0.27586206896551724,0.45454545454545453,0.3333333333333333,0.6666666666666666,0.24242424242424243,0.5151515151515151
6,7,0.504950495049505,0.25742574257425743,0.5247524752475248,0.32673267326732675,0.42574257425742573,0.5,0.22,0.44,0.26,0.38,0.5,0.3,0.6,0.4,0.46
7,8,0.47368421052631576,0.18421052631578946,0.5,0.47368421052631576,0.42105263157894735,0.5238095238095238,0.19047619047619047,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.4117647058823529,0.17647058823529413,0.6470588235294118,0.5882352941176471,0.47058823529411764
8,9,0.3181818181818182,0.13636363636363635,0.45454545454545453,0.36363636363636365,0.4090909090909091,0.375,0.125,0.25,0.5,0.125,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.5714285714285714
9,10,0.5769230769230769,0.2692307692307692,0.6153846153846154,0.46153846153846156,0.38461538461538464,0.6666666666666666,0.2,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.45454545454545453,0.36363636363636365,0.7272727272727273,0.36363636363636365,0.45454545454545453
10,11,0.52046783625731,0.2631578947368421,0.36257309941520466,0.3742690058479532,0.4444444444444444,0.627906976744186,0.26744186046511625,0.37209302325581395,0.3488372093023256,0.4069767441860465,0.40476190476190477,0.25,0.35714285714285715,0.39285714285714285,0.4880952380952381
11,12,0.4351145038167939,0.22137404580152673,0.4732824427480916,0.3511450381679389,0.4580152671755725,0.4647887323943662,0.22535211267605634,0.5352112676056338,0.29577464788732394,0.4647887323943662,0.4,0.21666666666666667,0.4,0.4166666666666667,0.45
12,13,0.4623376623376623,0.21298701298701297,0.43376623376623374,0.4701298701298701,0.4857142857142857,0.5191256830601093,0.22950819672131148,0.43169398907103823,0.44808743169398907,0.4426229508196721,0.41089108910891087,0.19801980198019803,0.43564356435643564,0.4900990099009901,0.5247524752475248
13,14,0.4732510288065844,0.25925925925925924,0.4279835390946502,0.45267489711934156,0.4567901234567901,0.49606299212598426,0.2440944881889764,0.41732283464566927,0.4330708661417323,0.3779527559055118,0.4482758620689655,0.27586206896551724,0.4396551724137931,0.47413793103448276,0.5431034482758621
14,15,0.5909090909090909,0.3484848484848485,0.5454545454545454,0.30303030303030304,0.45454545454545453,0.5862068965517241,0.3448275862068966,0.5172413793103449,0.20689655172413793,0.20689655172413793,0.5945945945945946,0.35135135135135137,0.5675675675675675,0.3783783783783784,0.6486486486486487
15,16,0.5348837209302325,0.2558139534883721,0.5116279069767442,0.32558139534883723,0.3953488372093023,0.5357142857142857,0.25,0.5357142857142857,0.39285714285714285,0.35714285714285715,0.5333333333333333,0.26666666666666666,0.4666666666666667,0.2,0.4666666666666667
16,17,0.3488372093023256,0.23255813953488372,0.46511627906976744,0.4883720930232558,0.37209302325581395,0.3684210526315789,0.2631578947368421,0.47368421052631576,0.47368421052631576,0.3157894736842105,0.3333333333333333,0.20833333333333334,0.4583333333333333,0.5,0.4166666666666667
17,18,0.5416666666666666,0.2916666666666667,0.375,0.2916666666666667,0.4166666666666667,0.5454545454545454,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.5454545454545454,0.5384615384615384,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
18,19,0.30434782608695654,0.17391304347826086,0.391304347826087,0.2608695652173913,0.5217391304347826,0.5454545454545454,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.75
19,20,0.5,0.22916666666666666,0.4166666666666667,0.5,0.3541666666666667,0.5172413793103449,0.20689655172413793,0.4482758620689655,0.5862068965517241,0.3448275862068966,0.47368421052631576,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.3684210526315789
20,21,0.4423076923076923,0.19230769230769232,0.5,0.36538461538461536,0.4423076923076923,0.6,0.25,0.5,0.25,0.45,0.34375,0.15625,0.5,0.4375,0.4375
21,22,0.4473684210526316,0.2719298245614035,0.4649122807017544,0.39473684210526316,0.4649122807017544,0.5094339622641509,0.2830188679245283,0.5283018867924528,0.39622641509433965,0.41509433962264153,0.39344262295081966,0.26229508196721313,0.4098360655737705,0.39344262295081966,0.5081967213114754
22,23,0.4631578947368421,0.26666666666666666,0.4631578947368421,0.40350877192982454,0.4070175438596491,0.527027027027027,0.28378378378378377,0.4594594594594595,0.40540540540540543,0.36486486486486486,0.39705882352941174,0.25,0.4632352941176471,0.39705882352941174,0.4485294117647059
23,24,0.3888888888888889,0.2222222222222222,0.3888888888888889,0.3888888888888889,0.48148148148148145,0.4,0.2,0.4,0.4,0.48,0.3793103448275862,0.2413793103448276,0.3793103448275862,0.3793103448275862,0.4827586206896552
24,25,0.4418604651162791,0.20930232558139536,0.46511627906976744,0.3023255813953488,0.3488372093023256,0.53125,0.15625,0.46875,0.25,0.28125,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.5454545454545454
25,26,0.5568181818181818,0.22727272727272727,0.5568181818181818,0.42045454545454547,0.3181818181818182,0.4878048780487805,0.1951219512195122,0.5121951219512195,0.4634146341463415,0.24390243902439024,0.6170212765957447,0.2553191489361702,0.5957446808510638,0.3829787234042553,0.3829787234042553
26,27,0.44025157232704404,0.25471698113207547,0.4339622641509434,0.4371069182389937,0.49056603773584906,0.4968152866242038,0.3184713375796178,0.47770700636942676,0.43312101910828027,0.45222929936305734,0.38125,0.19375,0.3875,0.4375,0.53125
27,28,0.39378238341968913,0.2694300518134715,0.43005181347150256,0.47150259067357514,0.43523316062176165,0.42528735632183906,0.367816091954023,0.40229885057471265,0.39080459770114945,0.3218390804597701,0.36538461538461536,0.19230769230769232,0.4423076923076923,0.5480769230769231,0.5288461538461539
28,29,0.4339622641509434,0.3584905660377358,0.49056603773584906,0.4339622641509434,0.49056603773584906,0.5185185185185185,0.4074074074074074,0.5185185185185185,0.4074074074074074,0.5555555555555556,0.34615384615384615,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.4230769230769231
29,30,0.32142857142857145,0.2857142857142857,0.6785714285714286,0.42857142857142855,0.42857142857142855,0.46153846153846156,0.07692307692307693,0.6923076923076923,0.46153846153846156,0.46153846153846156,0.2,0.4666666666666667,0.6666666666666666,0.4,0.4
30,31,0.36363636363636365,0.25,0.36363636363636365,0.5,0.38636363636363635,0.36363636363636365,0.18181818181818182,0.4090909090909091,0.3181818181818182,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.3181818181818182,0.6818181818181818,0.45454545454545453
31,32,0.4444444444444444,0.26666666666666666,0.5333333333333333,0.5111111111111111,0.37777777777777777,0.6,0.36,0.64,0.56,0.36,0.25,0.15,0.4,0.45,0.4
32,33,0.4726027397260274,0.19863013698630136,0.5136986301369864,0.410958904109589,0.4589041095890411,0.5970149253731343,0.23880597014925373,0.5074626865671642,0.3880597014925373,0.44776119402985076,0.358974358974359,0.15384615384615385,0.5128205128205128,0.4358974358974359,0.47435897435897434
33,34,0.41810344827586204,0.27586206896551724,0.47844827586206895,0.40086206896551724,0.43103448275862066,0.41379310344827586,0.29310344827586204,0.47413793103448276,0.39655172413793105,0.3793103448275862,0.41739130434782606,0.2608695652173913,0.4782608695652174,0.4,0.4782608695652174
34,35,0.5232558139534884,0.29069767441860467,0.4883720930232558,0.32558139534883723,0.4069767441860465,0.6136363636363636,0.29545454545454547,0.5681818181818182,0.38636363636363635,0.4318181818181818,0.42857142857142855,0.2857142857142857,0.40476190476190477,0.2619047619047619,0.38095238095238093
35,36,0.5465116279069767,0.3372093023255814,0.43023255813953487,0.4186046511627907,0.3953488372093023,0.5869565217391305,0.43478260869565216,0.45652173913043476,0.43478260869565216,0.43478260869565216,0.5,0.225,0.4,0.4,0.35
36,37,0.3925925925925926,0.1925925925925926,0.43703703703703706,0.37037037037037035,0.37777777777777777,0.5,0.2647058823529412,0.4411764705882353,0.35294117647058826,0.35294117647058826,0.2727272727272727,0.12121212121212122,0.4393939393939394,0.3939393939393939,0.3939393939393939
37,38,0.4841628959276018,0.2398190045248869,0.4253393665158371,0.36199095022624433,0.38009049773755654,0.5,0.24528301886792453,0.36792452830188677,0.4056603773584906,0.330188679245283,0.46956521739130436,0.23478260869565218,0.4782608695652174,0.3217391304347826,0.4260869565217391
38,39,0.47761194029850745,0.34328358208955223,0.40298507462686567,0.44776119402985076,0.43283582089552236,0.6060606060606061,0.3939393939393939,0.3939393939393939,0.48484848484848486,0.30303030303030304,0.35294117647058826,0.29411764705882354,0.4117647058823529,0.4117647058823529,0.5588235294117647
39,40,0.4607142857142857,0.2392857142857143,0.42857142857142855,0.4035714285714286,0.4607142857142857,0.5703125,0.3203125,0.4921875,0.34375,0.421875,0.3684210526315789,0.17105263157894737,0.375,0.45394736842105265,0.4934210526315789
40,41,0.41935483870967744,0.16129032258064516,0.5161290322580645,0.41935483870967744,0.4838709677419355,0.47058823529411764,0.23529411764705882,0.5294117647058824,0.47058823529411764,0.23529411764705882,0.35714285714285715,0.07142857142857142,0.5,0.35714285714285715,0.7857142857142857
41,42,0.4603174603174603,0.31746031746031744,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5333333333333333,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.3939393939393939,0.36363636363636365,0.5454545454545454,0.42424242424242425,0.42424242424242425
42,43,0.5,0.17073170731707318,0.4878048780487805,0.47560975609756095,0.35365853658536583,0.47058823529411764,0.17647058823529413,0.47058823529411764,0.43137254901960786,0.27450980392156865,0.5483870967741935,0.16129032258064516,0.5161290322580645,0.5483870967741935,0.4838709677419355
43,44,0.45454545454545453,0.2727272727272727,0.4090909090909091,0.38636363636363635,0.2727272727272727,0.5217391304347826,0.34782608695652173,0.4782608695652174,0.5217391304347826,0.2608695652173913,0.38095238095238093,0.19047619047619047,0.3333333333333333,0.23809523809523808,0.2857142857142857
44,45,0.4186046511627907,0.18604651162790697,0.4418604651162791,0.46511627906976744,0.3953488372093023,0.43478260869565216,0.21739130434782608,0.5217391304347826,0.5217391304347826,0.43478260869565216,0.4,0.15,0.35,0.4,0.35
45,46,0.5306122448979592,0.14285714285714285,0.3469387755102041,0.5306122448979592,0.3469387755102041,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.3888888888888889,0.45161290322580644,0.12903225806451613,0.3548387096774194,0.5483870967741935,0.3225806451612903
46,47,0.3829787234042553,0.1276595744680851,0.3404255319148936,0.3617021276595745,0.574468085106383,0.4230769230769231,0.15384615384615385,0.4230769230769231,0.3076923076923077,0.6538461538461539,0.3333333333333333,0.09523809523809523,0.23809523809523808,0.42857142857142855,0.47619047619047616
